text,timestamp
man earth part 1 httpsyoutu.beg5fjr658cqs,2026-01-18 14:54:37.822250
kid mutt,2026-01-18 14:54:37.822259
please make series make sequel movie,2026-01-18 14:54:37.822264
99 christian exactly philip basement.,2026-01-18 14:54:37.822268
"watched first one, wonderful but one come nowhere near it. plus hated students, claimed love professor even said wanted learn but no problem stalking him, invade home, belonging impose forcibly life. not one person decency point none anyone right thing him? kid fake called ambulance instead duck taped poor guy chair felt belief challenged worst all. yes young felt strongly faith but quickly betray core faith. action proved humanity still undeserving greatness miracles. history proves, every time humanity given something divine, miraculous amazing, instead trying understand feel fortunate enough witness it, decided vilify it, torture crush till gone destroyed. add insult injury go say want believe. professor said angry wanted oldman, but reality acted way student stabbed oldman, albeit less drastic way. couldnt admit action ruined career. kind real friend, would never tried friend, especially oldman already explained friend needed move difficult life various reasons. instead empathising even marveling possibility meeting person, response oldman, ridiculous evil him. tried profit olmans secret purposely put target oldmans back but didnt think would backfire destroy career, resulting becoming bitter old man. least, would liked seen four student pay did, see realisation part cruel nothing short selfish whether oldman thought not, came upon something incredible, destroyed never come close again. least, might given something film. first film various character thoughts, feeling deal learned friend. im not sure anyone watched show called forever, brilliant show refreshing intelligent new take someone discovering immortal trying figure even possible. show making something completely new intriguing but like thought provoking shows, got axed became hooked. yes, fact show called forever got cancelled soon after, isnt lost me. no 3 man earth story, feel creator forever one could real justice.",2026-01-18 14:54:37.822272
hmmm... ending scene fbi agent bwas really weird messed up! whole part 2 felt like highjacking part 1!,2026-01-18 14:54:37.822276
guy look like jim carrey!,2026-01-18 14:54:37.822279
perfect sequel.,2026-01-18 14:54:37.822283
philip john tape chair basement? right? john get stabbed knife? dont think thats knife would use anything.,2026-01-18 14:54:37.822286
think immortal serial killer one wen see jenkins,2026-01-18 14:54:37.822290
painful watch,2026-01-18 14:54:37.822293
year 2026. still year go third part,2026-01-18 14:54:37.822296
didnt know mark webber acted!,2026-01-18 14:54:37.822301
"first movie great. sequel poor attempt cashing original. poor writing, poor acting dreadful ending.",2026-01-18 14:54:37.822304
total trash,2026-01-18 14:54:37.822308
first film masterpiece! love it. italian version this? least subtitles? grazie,2026-01-18 14:54:37.822311
nabi idris ga sih,2026-01-18 14:54:37.822315
. . . . . . . . . . . . . . . . . . . . . . . . . .,2026-01-18 14:54:37.822320
"pretty poor, that.",2026-01-18 14:54:37.822324
first movie absolute masterpiece. second part big downgrade shouldnt come first place,2026-01-18 14:54:37.822328
"fun fact, bottle whiskey 1960 wouldnt go bad stored cupboard quality doesnt improve time bottle.",2026-01-18 14:54:37.822331
keep getting crucified whenever people find secret he trying escape live life. no wonder hide,2026-01-18 14:54:37.822334
"how, how? im fresh watching first part not believe bad is.",2026-01-18 14:54:37.822338
"looking first movie ended watching entire movie accident. imagine confusion. fortunately, found first one after.",2026-01-18 14:54:37.822341
"lmao, movie bad compared first one. still, entertaining",2026-01-18 14:54:37.822346
liko busta.,2026-01-18 14:54:37.822350
wish theyd make tv series based story told first movie.,2026-01-18 14:54:37.822355
"first movie great, but sequel destroyed rabid christians. usual approach jesus movie sit back, laugh, enjoy bad acting cheap sets. couldnt one kept remembering first one, was, large part, monologue additional character time time. oh well, there aways ten commandents next rainy day.",2026-01-18 14:54:37.822359
hunch but 2027 next movie.. 2007 part 1 2017 part 2 2027 part 3?,2026-01-18 14:54:37.822362
im waiting part 3 year 2027,2026-01-18 14:54:37.822367
philip right! john antichrist. true. john must kill philip keep secret,2026-01-18 14:54:37.822371
"story writer take role character live it. scenario good time name discovered book, writer imagination failed began flounder randomly end story. decision go wilderness good one, thats exactly would done place. but short moment could prolonged everyone following something happening, like getting lost wilderness. could showcased survival skill interesting discussion around campfire. first part inspiring. envisioned many enjoyable parts, dont think id want watch episode might ruin ive already seen. author, given first part contained truth, would made second part showcase man ability expertise hiding, escaping, conversing, dodging, talking, surviving, on.",2026-01-18 14:54:37.822376
"sequel never needed yet,",2026-01-18 14:54:37.822380
"really liked first movie, part 2 watch like porn without sex...",2026-01-18 14:54:37.822384
"people must admit no god anything like exist replica anything ,like bible replica book like",2026-01-18 14:54:37.822387
jesus also fake one like god claim,2026-01-18 14:54:37.822391
hm,2026-01-18 14:54:37.822394
fk,2026-01-18 14:54:37.822397
"shoudnnt ending, first great, believe last one mean one, made around breaking religions, making human realize not religion humanity, kindness, equlibrium bw human nature.",2026-01-18 14:54:37.822400
dissapointing... havent seen end yet but feel like attempt sequel...,2026-01-18 14:54:37.822403
think shouldnt made part 2. effect original movie.,2026-01-18 14:54:37.822407
,2026-01-18 14:54:37.822431
"1730 favourite scene whole movie. metaphor nothing lasting forever, warm humour, john friend not clue took friend name vain",2026-01-18 14:54:37.822433
wild bad comparatively. im halfway sad,2026-01-18 14:54:37.822436
god damn no way good compariosn part 1,2026-01-18 14:54:37.822438
"tara true 49er. shes 4, but think shes 9.",2026-01-18 14:54:37.822440
first movie still best,2026-01-18 14:54:37.822441
four student anti christ.,2026-01-18 14:54:37.822443
student insufferable movie. whoever wrote shit clearly didnt understand first movie made great,2026-01-18 14:54:37.822445
stay radar. work university,2026-01-18 14:54:37.822447
"hasnt aged 14,000 years, but aged quite bit last 10 years.",2026-01-18 14:54:37.822449
"movie isnt immortal caveman, jesus, mortal captain planet no power create interesting universe, remove interesting thing brilliant",2026-01-18 14:54:37.822450
"david lee smith understated performance, melancholic expression, brooding silence really get mood right portraying. something tragic lonely man living forever nail it. compelling story. loved first movie. always get story like pit stomach",2026-01-18 14:54:37.822452
could better,2026-01-18 14:54:37.822454
monotheism root evil done name religion world.,2026-01-18 14:54:37.822456
,2026-01-18 14:54:37.822458
,2026-01-18 14:54:37.822460
please let run campaign part 3 released 2027!!!,2026-01-18 14:54:37.822462
"doctor jenkins, art , next victim.",2026-01-18 14:54:37.822464
arruinaron la escencia,2026-01-18 14:54:37.822465
"something definitely wrong students, christian student",2026-01-18 14:54:37.822467
guy thee post credit scene 13904,2026-01-18 14:54:37.822469
ruined... part 1 brilliance,2026-01-18 14:54:37.822471
good movie though,2026-01-18 14:54:37.822473
exposed? movie show selfish humanity is.,2026-01-18 14:54:37.822474
"1745, flying f shoot 75 year old scotch???????",2026-01-18 14:54:37.822476
like useless conversation web show pas time,2026-01-18 14:54:37.822478
shade edith! christian fundamentalist always biggest problem dealing things? jesus christ no pun intended.,2026-01-18 14:54:37.822480
ti con nt ranh vo p2 ny c v nh din sai lm chng n lm hng p2 ny ri,2026-01-18 14:54:37.822482
hell shit,2026-01-18 14:54:37.822484
second part almost came 10 year john change location every 10 year,2026-01-18 14:54:37.822486
"loved first film, but second one terrible.....",2026-01-18 14:54:37.822487
